Distance_(pixels),Gray_Value
1015,85.4755
1016,84.3578
1017,83.4118
1018,82.4265
1019,81.7304
1020,81.0196
1021,80.3529
1022,79.6029
1023,78.7255
1024,78.1569
1025,77.6912
1026,77.2451
1027,76.8382
1028,76.3578
1029,75.7892
1030,75.4853
1031,74.8922
1032,74.7108
1033,74.5000
1034,74.2598
1035,73.7843
1036,73.7794
1037,73.2892
1038,72.8578
1039,72.9314
1040,72.3480
1041,72.1078
1042,71.7745
1043,71.5588
1044,71.3382
1045,71.1324
1046,70.7402
1047,70.2500
1048,69.9804
1049,69.5392
1050,69.3088
1051,68.7696
1052,68.5049
1053,68.0931
1054,67.5245
1055,66.9167
1056,66.4412
1057,65.8578
1058,65.2598
1059,64.8726
1060,64.5882
1061,63.8235
1062,63.2647
1063,63.0343
1064,62.1667
1065,62.0098
1066,61.4118
1067,60.9118
1068,60.4069
1069,59.8775
1070,59.5441
1071,58.9461
1072,58.3824
1073,57.8088
1074,57.2304
1075,56.7108
1076,56.4853
1077,56.0490
1078,55.5686
1079,55.2892
1080,54.6765
1081,53.9216
1082,53.6716
1083,53.3431
1084,53.0686
1085,52.6176
1086,52.0196
1087,51.6275
1088,51.4657
1089,51.3382
1090,51.0098
1091,50.5196
1092,50.1716
1093,50.0147
1094,50.0980
1095,49.5490
1096,49.2500
1097,49.1765
1098,48.8333
1099,48.5980
1100,48.3824
1101,47.9069
1102,47.9902
1103,47.6127
1104,47.5980
1105,47.3186
1106,47.3235
1107,47.0686
1108,47.0735
1109,46.9461
1110,46.8137
1111,46.7206
1112,46.6520
1113,46.8088
1114,46.5735
1115,46.9706
1116,46.6912
1117,46.7206
1118,47.0784
1119,47.2990
1120,47.2549
1121,47.2402
1122,47.4412
1123,47.5147
1124,47.5588
1125,47.8186
1126,48.1324
1127,48.1029
1128,48.6667
1129,48.8529
1130,48.6961
1131,48.9314
1132,49.4657
1133,49.9461
1134,49.6863
1135,50.2304
1136,50.7500
1137,50.8186
1138,51.2402
1139,51.5049
1140,52.0098
1141,52.1716
1142,52.5637
