X,Value,ERR
2994,103.521,5.2664
2995,99.625,5.0621
2996,95.083,4.7619
2997,91.771,4.6646
2998,87.708,4.4351
2999,85.354,4.3300
3000,82.229,4.1739
3001,79.938,4.0826
3002,77.312,3.9329
3003,75.396,3.8254
3004,72.896,3.7443
3005,71.646,3.6814
3006,69.542,3.5903
3007,68.188,3.5045
3008,66.562,3.4164
3009,64.708,3.2919
3010,63.833,3.2836
3011,62.000,3.1571
3012,60.792,3.1215
3013,59.792,3.0507
3014,58.438,2.9840
3015,57.354,2.9557
