Distance_(pixels),Gray_Value
1354,26.8083
1355,26.8000
1356,27.1083
1357,27.0500
1358,27.2500
1359,27.3917
1360,27.7667
1361,27.8583
1362,28.2667
1363,28.6917
1364,29.0000
1365,29.3917
1366,29.3667
1367,30.0000
1368,30.4083
1369,30.7750
1370,31.2833
1371,31.7750
1372,32.4250
1373,32.8750
1374,33.5250
1375,34.2500
1376,34.8333
1377,35.4917
1378,36.2833
1379,36.9833
1380,37.9333
1381,38.7333
1382,39.7833
1383,40.5083
1384,41.7250
1385,42.8083
1386,43.6000
1387,45.0917
1388,45.9667
1389,47.5667
1390,48.4500
1391,49.8333
1392,51.2917
1393,53.0333
1394,54.3250
1395,56.1250
1396,58.1833
1397,59.8500
1398,61.8583
1399,63.4417
1400,65.5000
1401,67.2000
1402,69.7333
1403,71.9500
1404,73.9667
1405,76.4000
1406,78.8667
1407,81.0833
1408,83.7583
1409,86.1417
1410,88.0333
1411,89.8083
1412,91.5500
1413,92.9417
1414,93.9583
1415,95.3417
1416,96.8333
1417,97.6000
1418,98.3833
1419,98.8417
1420,99.4917
1421,100.0167
1422,100.1250
1423,100.3167
1424,100.3833
1425,100.3750
1426,99.8417
1427,99.5500
1428,99.0083
1429,98.4750
1430,97.7833
1431,96.7667
1432,95.3417
1433,94.2500
1434,92.7250
1435,91.0333
1436,89.2167
1437,87.4417
1438,84.9000
1439,82.2083
1440,79.4417
1441,76.3917
1442,73.5417
1443,71.0250
1444,68.4750
1445,65.9250
1446,63.8250
1447,61.7833
1448,59.8500
1449,58.4333
1450,56.8500
1451,55.6583
1452,54.6917
1453,53.7583
1454,52.9500
1455,52.5417
1456,51.7333
1457,50.9750
1458,50.6667
1459,50.4917
1460,50.4333
1461,50.0500
1462,49.9167
1463,49.9417
1464,49.7250
1465,49.8333
1466,49.8333
1467,49.8250
1468,49.9167
1469,50.2917
1470,50.3833
1471,50.9083
1472,51.2000
1473,51.7333
1474,52.3833
1475,52.8000
1476,53.5250
1477,54.2750
1478,54.7583
1479,55.4583
1480,56.4250
1481,57.7750
1482,58.5583
1483,59.4667
1484,60.8917
1485,61.8667
1486,63.4083
1487,64.5917
1488,66.1083
1489,67.5917
1490,69.2250
1491,70.8333
1492,72.5333
1493,74.2667
1494,75.9917
1495,78.2333
1496,80.4083
1497,82.5083
1498,84.3333
1499,86.3333
1500,88.1667
1501,89.8917
1502,90.9667
1503,92.7000
1504,94.0667
1505,95.2333
1506,96.0833
1507,96.6750
1508,97.3167
1509,98.0583
1510,98.5833
1511,99.2250
1512,99.5917
1513,99.6250
1514,99.4583
1515,99.2000
1516,98.9667
1517,98.9667
1518,98.4583
1519,97.6000
1520,96.7500
1521,95.6667
1522,94.4833
1523,93.0083
1524,91.7917
1525,89.9333
1526,88.4167
1527,85.7167
1528,82.5000
1529,78.9667
1530,75.9583
1531,72.3833
1532,69.2917
1533,66.2667
1534,63.8583
1535,60.9417
1536,58.3333
1537,55.9917
1538,53.9500
1539,51.8417
1540,49.8583
1541,48.1250
