Incident energy 	 
Incident energy 	 
Incident energy 	 σ(E)
2917470.0 	 0.3742996
2918840.0 	 0.3839125
2920210.0 	 0.3935255
2921580.0 	 0.4031384
2922960.0 	 0.4128215
2924330.0 	 0.4224344
2925710.0 	 0.4321175
2927090.0 	 0.4418006
2928470.0 	 0.4514837
2929850.0 	 0.4611668
2931230.0 	 0.4708499
2932610.0 	 0.480533
2935370.0 	 0.4998992
2936760.0 	 0.5096525
2938140.0 	 0.5193356
2939000.0 	 0.52537
2939530.0 	 0.5181572
2940000.0 	 0.5117609
2940910.0 	 0.4993767
2942300.0 	 0.4804601
2943690.0 	 0.4615435
2945080.0 	 0.4426269
2946470.0 	 0.4237103
2947860.0 	 0.4047938
2949260.0 	 0.3857411
2950000.0 	 0.3756704
2950650.0 	 0.3668245
2952050.0 	 0.3477718
2954140.0 	 0.3193289
2956930.0 	 0.2813596
2962540.0 	 0.2050128
2965350.0 	 0.1667714
2965500.0 	 0.16473
2968160.0 	 0.1696913
2970970.0 	 0.1749324
2973790.0 	 0.1801921
2976620.0 	 0.1854705
2979450.0 	 0.1907489
2982280.0 	 0.1960272
2985110.0 	 0.2013056
2985300.0 	 0.20166
2987950.0 	 0.2079713
2990800.0 	 0.214759
2993290.0 	 0.2206892
2995430.0 	 0.2257859
2997570.0 	 0.2308826
2999710.0 	 0.2359793
3000000.0 	 0.23667
3001860.0 	 0.2410355
3004000.0 	 0.2460581
3006150.0 	 0.2511042
3008310.0 	 0.2561738
3010460.0 	 0.2612199
3012620.0 	 0.2662895
3014780.0 	 0.2713591
3016940.0 	 0.2764287
3019100.0 	 0.2814983
3021270.0 	 0.2865913
3023440.0 	 0.2916844
3025610.0 	 0.2967775
3027780.0 	 0.3018705
3029960.0 	 0.306987
3032130.0 	 0.3120801
3034310.0 	 0.3171966
3036500.0 	 0.3223366
3038680.0 	 0.3274532
3040870.0 	 0.3325932
3042100.0 	 0.33548
3043060.0 	 0.3445815
3045250.0 	 0.3653443
3047450.0 	 0.3862019
3049640.0 	 0.4069647
3050000.0 	 0.4103778
3051840.0 	 0.4278223
3054040.0 	 0.44868
3055880.0 	 0.4661245
3057350.0 	 0.4800612
3058820.0 	 0.4939979
3060290.0 	 0.5079346
3061770.0 	 0.521966
3063240.0 	 0.5359027
3063900.0 	 0.54216
3064720.0 	 0.5320151
3066190.0 	 0.5138285
3067670.0 	 0.4955181
3069150.0 	 0.4772078
3070630.0 	 0.4588975
3072850.0 	 0.431432
3078790.0 	 0.3579432
3081760.0 	 0.3211989
3084500.0 	 0.2873
3084740.0 	 0.2900142
3087730.0 	 0.3238288
3090720.0 	 0.3576434
3093710.0 	 0.3914579
3095950.0 	 0.4167906
3097450.0 	 0.4337544
3098960.0 	 0.4508314
3100000.0 	 0.462593
3100460.0 	 0.4677952
3101960.0 	 0.484759
3103460.0 	 0.5017229
3104970.0 	 0.5187998
3105100.0 	 0.52027
3106470.0 	 0.5428438
3107980.0 	 0.5677243
3109490.0 	 0.5926049
3111000.0 	 0.6174854
3112510.0 	 0.642366
