time	V(n003)*10	V(n009)*10
3.945000000019289e-06	9.992782e-20	-2.915241e-07
3.965000000019387e-06	1.152517e-19	-2.915241e-07
3.985000000019485e-06	-5.866495e-19	-2.915241e-07
4.005000000019583e-06	6.434921e-19	-2.915241e-07
4.025000000019681e-06	-4.494241e-19	-2.915241e-07
4.045000000019779e-06	-6.634218e-22	-2.915241e-07
4.065000000019877e-06	8.371686e-20	-2.915241e-07
4.085000000019975e-06	8.541204e-20	-2.915241e-07
4.105000000020073e-06	1.102454e-19	-2.915241e-07
4.125000000020172e-06	-5.874573e-19	-2.915241e-07
4.145000000020270e-06	6.435584e-19	-2.915241e-07
4.165000000020368e-06	-4.493975e-19	-2.915241e-07
4.185000000020466e-06	6.641535e-19	-2.915241e-07
4.205000000020564e-06	-4.490399e-19	-2.915241e-07
4.225000000020662e-06	-2.303308e-20	-2.915241e-07
4.245000000020760e-06	7.966406e-20	-2.915241e-07
4.265000000020858e-06	1.144307e-19	-2.915241e-07
4.285000000020956e-06	-5.866095e-19	-2.915241e-07
4.305000000021054e-06	1.995924e-19	-2.915241e-07
4.325000000021152e-06	1.978615e-20	-2.915241e-07
4.345000000021250e-06	1.641306e-21	-2.915241e-07
4.365000000021348e-06	-9.913416e-25	-2.915241e-07
4.385000000021446e-06	-2.393798e-22	-2.915241e-07
4.405000000021544e-06	-2.393688e-22	-2.915241e-07
4.425000000021643e-06	-1.731357e-22	-2.915241e-07
4.445000000021741e-06	-2.261023e-22	-2.915241e-07
4.465000000021839e-06	-2.393357e-22	-2.915241e-07
4.485000000021937e-06	-2.260803e-22	-2.915241e-07
4.505000000022035e-06	-2.260692e-22	-2.915241e-07
4.525000000022133e-06	6.296314e-20	-2.915241e-07
4.545000000022231e-06	7.832657e-20	-2.915241e-07
4.565000000022329e-06	1.097954e-19	-2.915241e-07
4.585000000022427e-06	9.992818e-20	-2.915241e-07
4.605000000022525e-06	1.152653e-19	-2.915241e-07
4.625000000022623e-06	-5.866093e-19	-2.915241e-07
4.645000000022721e-06	6.435322e-19	-2.915241e-07
4.665000000022819e-06	-4.494237e-19	-2.915241e-07
4.685000000022917e-06	-6.763084e-22	-2.915241e-07
4.705000000023015e-06	8.373046e-20	-2.915241e-07
4.725000000023113e-06	8.535943e-20	-2.915241e-07
4.745000000023212e-06	1.101663e-19	-2.915241e-07
4.765000000023310e-06	9.951767e-20	-2.915241e-07
4.785000000023408e-06	-5.496971e-19	-2.915241e-07
4.805000000023506e-06	6.331089e-19	-2.915241e-07
4.825000000023604e-06	-4.634760e-19	-2.915241e-07
4.845000000023702e-06	-5.483943e-21	-2.915241e-07
4.865000000023800e-06	8.321401e-20	-2.915241e-07
