time	V(n003)*10
1.231267012456546e-04	1.980206e+00
1.231467012456545e-04	1.980214e+00
1.231667012456544e-04	1.980222e+00
1.231867012456543e-04	1.980230e+00
1.232067012456542e-04	1.980238e+00
1.232267012456540e-04	1.980246e+00
1.232467012456539e-04	1.980254e+00
1.232667012456538e-04	1.980262e+00
1.232867012456537e-04	1.980270e+00
1.233067012456536e-04	1.980278e+00
1.233267012456534e-04	1.980286e+00
1.233467012456533e-04	1.980294e+00
1.233667012456532e-04	1.980302e+00
1.233867012456531e-04	1.980310e+00
1.234067012456530e-04	1.980318e+00
1.234267012456528e-04	1.980326e+00
1.234467012456527e-04	1.980334e+00
1.234667012456526e-04	1.980342e+00
1.234867012456525e-04	1.980350e+00
1.235067012456524e-04	1.980358e+00
1.235267012456523e-04	1.980366e+00
1.235467012456521e-04	1.980374e+00
1.235667012456520e-04	1.980382e+00
1.235867012456519e-04	1.980390e+00
1.236067012456518e-04	1.980398e+00
1.236267012456517e-04	1.980405e+00
1.236467012456515e-04	1.980413e+00
1.236667012456514e-04	1.980421e+00
1.236867012456513e-04	1.980429e+00
1.237067012456512e-04	1.980437e+00
1.237267012456511e-04	1.980445e+00
1.237467012456509e-04	1.980453e+00
1.237667012456508e-04	1.980461e+00
1.237867012456507e-04	1.980469e+00
1.238067012456506e-04	1.980477e+00
1.238267012456505e-04	1.980485e+00
1.238467012456504e-04	1.980493e+00
1.238667012456502e-04	1.980501e+00
1.238867012456501e-04	1.980509e+00
1.239067012456500e-04	1.980516e+00
1.239267012456499e-04	1.980524e+00
1.239467012456498e-04	1.980532e+00
1.239667012456496e-04	1.980540e+00
1.239867012456495e-04	1.980548e+00
1.240067012456494e-04	1.980556e+00
1.240267012456493e-04	1.980564e+00
1.240467012456492e-04	1.980572e+00
1.240667012456490e-04	1.980579e+00
1.240867012456489e-04	1.980587e+00
1.241067012456488e-04	1.980595e+00
1.241267012456487e-04	1.980603e+00
1.241467012456486e-04	1.980611e+00
1.241667012456485e-04	1.980619e+00
1.241867012456483e-04	1.980627e+00
1.242067012456482e-04	1.980635e+00
1.242267012456481e-04	1.980643e+00
1.242467012456480e-04	1.980650e+00
1.242667012456479e-04	1.980658e+00
1.242867012456477e-04	1.980666e+00
1.243067012456476e-04	1.980674e+00
1.243267012456475e-04	1.980682e+00
1.243467012456474e-04	1.980689e+00
1.243667012456473e-04	1.980697e+00
1.243867012456471e-04	1.980705e+00
1.244067012456470e-04	1.980713e+00
1.244267012456469e-04	1.980721e+00
1.244467012456468e-04	1.980729e+00
1.244667012456467e-04	1.980736e+00
1.244867012456466e-04	1.980744e+00
1.245067012456464e-04	1.980752e+00
1.245267012456463e-04	1.980760e+00
