ts_ext,pixels,multiplicity,vertical_dimension,horizontal_dimension,ratio_x_y,ratio_x_y_bin,density
28519445,"[(109, 329)]",1,1,1,1.0,1.0,1.0
28520023,"[(343, 79)]",1,1,1,1.0,1.0,1.0
28528325,"[(162, 67)]",1,1,1,1.0,1.0,1.0
28536813,"[(69, 10)]",1,1,1,1.0,1.0,1.0
28540206,"[(109, 329)]",1,1,1,1.0,1.0,1.0
28540637,"[(203, 462)]",1,1,1,1.0,1.0,1.0
28544132,"[(180, 417)]",1,1,1,1.0,1.0,1.0
28544580,"[(74, 199)]",1,1,1,1.0,1.0,1.0
28544755,"[(49, 53)]",1,1,1,1.0,1.0,1.0
28548698,"[(186, 317)]",1,1,1,1.0,1.0,1.0
28561159,"[(24, 153)]",1,1,1,1.0,1.0,1.0
28564880,"[(176, 151)]",1,1,1,1.0,1.0,1.0
28580971,"[(290, 27)]",1,1,1,1.0,1.0,1.0
28585492,"[(124, 433)]",1,1,1,1.0,1.0,1.0
28695191,"[(160, 4)]",1,1,1,1.0,1.0,1.0
28715398,"[(319, 441)]",1,1,1,1.0,1.0,1.0
28735845,"[(156, 237)]",1,1,1,1.0,1.0,1.0
28744529,"[(315, 101)]",1,1,1,1.0,1.0,1.0
28744625,"[(354, 199)]",1,1,1,1.0,1.0,1.0
28748289,"[(148, 281)]",1,1,1,1.0,1.0,1.0
28760583,"[(218, 385)]",1,1,1,1.0,1.0,1.0
28760882,"[(223, 269)]",1,1,1,1.0,1.0,1.0
28760999,"[(324, 171)]",1,1,1,1.0,1.0,1.0
28769211,"[(332, 346)]",1,1,1,1.0,1.0,1.0
28797939,"[(42, 127)]",1,1,1,1.0,1.0,1.0
28906576,"[(124, 275)]",1,1,1,1.0,1.0,1.0
28911501,"[(90, 70)]",1,1,1,1.0,1.0,1.0
28915431,"[(180, 477), (180, 478)]",2,1,2,2.0,2.0,1.0
28935926,"[(165, 203)]",1,1,1,1.0,1.0,1.0
28940267,"[(222, 380), (222, 379), (222, 380)]",3,1,2,2.0,2.0,1.0
28943766,"[(169, 421)]",1,1,1,1.0,1.0,1.0
28944045,"[(137, 303)]",1,1,1,1.0,1.0,1.0
28944095,"[(126, 279)]",1,1,1,1.0,1.0,1.0
28955897,"[(64, 69)]",1,1,1,1.0,1.0,1.0
28956113,"[(112, 167)]",1,1,1,1.0,1.0,1.0
28960652,"[(56, 305)]",1,1,1,1.0,1.0,1.0
28972457,"[(152, 51)]",1,1,1,1.0,1.0,1.0
28989106,"[(320, 19)]",1,1,1,1.0,1.0,1.0
29005759,"[(342, 68)]",1,1,1,1.0,1.0,1.0
29098546,"[(335, 445)]",1,1,1,1.0,1.0,1.0
29102596,"[(40, 107)]",1,1,1,1.0,1.0,1.0
29143683,"[(165, 348)]",1,1,1,1.0,1.0,1.0
29151814,"[(80, 429)]",1,1,1,1.0,1.0,1.0
29164406,"[(114, 119)]",1,1,1,1.0,1.0,1.0
29302487,"[(385, 101)]",1,1,1,1.0,1.0,1.0
29310915,"[(226, 167)]",1,1,1,1.0,1.0,1.0
29310989,"[(141, 57)]",1,1,1,1.0,1.0,1.0
29311172,"[(179, 31)]",1,1,1,1.0,1.0,1.0
29315174,"[(202, 454)]",1,1,1,1.0,1.0,1.0
29319010,"[(324, 180)]",1,1,1,1.0,1.0,1.0
29327242,"[(205, 180), (205, 180), (205, 179), (205, 180)]",4,1,2,2.0,2.0,1.0
29327316,"[(205, 180)]",1,1,1,1.0,1.0,1.0
29327373,"[(126, 197)]",1,1,1,1.0,1.0,1.0
29335329,"[(290, 295)]",1,1,1,1.0,1.0,1.0
29347144,"[(63, 6)]",1,1,1,1.0,1.0,1.0
29351716,"[(205, 458)]",1,1,1,1.0,1.0,1.0
29351756,"[(205, 458)]",1,1,1,1.0,1.0,1.0
29355736,"[(105, 120)]",1,1,1,1.0,1.0,1.0
29368698,"[(109, 329)]",1,1,1,1.0,1.0,1.0
29372828,"[(379, 163)]",1,1,1,1.0,1.0,1.0
29494075,"[(1, 220)]",1,1,1,1.0,1.0,1.0
29506050,"[(371, 296)]",1,1,1,1.0,1.0,1.0
29506116,"[(371, 296)]",1,1,1,1.0,1.0,1.0
29510983,"[(175, 83)]",1,1,1,1.0,1.0,1.0
29519086,"[(239, 93)]",1,1,1,1.0,1.0,1.0
29526963,"[(112, 377)]",1,1,1,1.0,1.0,1.0
29530973,"[(105, 175)]",1,1,1,1.0,1.0,1.0
29531167,"[(270, 327)]",1,1,1,1.0,1.0,1.0
29531205,"[(199, 294)]",1,1,1,1.0,1.0,1.0
29535787,"[(405, 49)]",1,1,1,1.0,1.0,1.0
29555755,"[(53, 182)]",1,1,1,1.0,1.0,1.0
29559885,"[(208, 363)]",1,1,1,1.0,1.0,1.0
29689549,"[(141, 391)]",1,1,1,1.0,1.0,1.0
29694193,"[(243, 69)]",1,1,1,1.0,1.0,1.0
29706815,"[(411, 408), (411, 407)]",2,1,2,2.0,2.0,1.0
29710064,"[(365, 353)]",1,1,1,1.0,1.0,1.0
29710109,"[(365, 353)]",1,1,1,1.0,1.0,1.0
29710643,"[(112, 7)]",1,1,1,1.0,1.0,1.0
29710844,"[(117, 6)]",1,1,1,1.0,1.0,1.0
29714324,"[(109, 329)]",1,1,1,1.0,1.0,1.0
29738861,"[(9, 189)]",1,1,1,1.0,1.0,1.0
29751168,"[(137, 438)]",1,1,1,1.0,1.0,1.0
29885590,"[(32, 5)]",1,1,1,1.0,1.0,1.0
29893777,"[(138, 178)]",1,1,1,1.0,1.0,1.0
29893843,"[(304, 45)]",1,1,1,1.0,1.0,1.0
29897913,"[(196, 345)]",1,1,1,1.0,1.0,1.0
29897924,"[(109, 329)]",1,1,1,1.0,1.0,1.0
